"age","log_ifr_mean","log_ifr_cl","log_ifr_cu","ifr_mean","ifr_cl","ifr_cu"
0,-12.1317911748118,-12.4629667230566,-11.8006158419816,5.38554968870356e-06,3.86725067589091e-06,7.49993771606175e-06
0.5,-12.0714084364252,-12.3998988869256,-11.7429181008469,5.72076261919636e-06,4.11900517175694e-06,7.94539453568296e-06
1,-12.0110256980386,-12.3368310507945,-11.6852203597123,6.07684021815658e-06,4.38714865595102e-06,8.41730914544314e-06
1.5,-11.950642959652,-12.2737632146634,-11.6275226185776,6.45508116576821e-06,4.67274803668261e-06,8.9172529987991e-06
2,-11.8902601643904,-12.2106992682907,-11.5698211164564,6.85686536598951e-06,4.97692031785846e-06,9.44692641496658e-06
2.5,-11.8298780017031,-12.1476402934953,-11.5121157275893,7.2836532490328e-06,5.30086632352322e-06,1.00081006530672e-05
3,-11.7694952474644,-12.0845856146506,-11.4544048313399,7.73701001890003e-06,5.64587360713631e-06,1.06026686262339e-05
3.5,-11.7091124706789,-12.021535397764,-11.3966895605458,8.21858528070151e-06,6.01330888457596e-06,1.12326082307845e-05
4,-11.6487297060371,-11.9584900784794,-11.3389693369295,8.730135159567e-06,6.40462560113519e-06,1.19000335689634e-05
4.5,-11.5883469690109,-11.8954491535245,-11.2812447260967,9.27352521102875e-06,6.82137731928378e-06,1.26071716658771e-05
5,-11.5279642420351,-11.8324137353627,-11.2235146465469,9.8507374059409e-06,7.26520724128932e-06,1.3356403214857e-05
5.5,-11.4675819518954,-11.7693837587308,-11.1657801745469,1.04638724587858e-05,7.73787265643477e-06,1.41502229962498e-05
6,-11.407199226683,-11.7063587872316,-11.1080396433447,1.11151754390448e-05,8.24124785140157e-06,1.49913132190704e-05
6.5,-11.3468164806579,-11.6433387688615,-11.0502941948967,1.18070177268237e-05,8.77732585649937e-06,1.58824760001153e-05
7,-11.2864337616062,-11.5803247111233,-10.9925426954298,1.25419220421463e-05,9.34821902774275e-06,1.68267160188407e-05
7.5,-11.2260509239321,-11.5173162169534,-10.9347857123261,1.33225705940276e-05,9.95618873275816e-06,1.78271904587746e-05
8,-11.1656682099628,-11.4543137030419,-10.8770226785238,1.41518074087799e-05,1.06036348734051e-05,1.8887264886871e-05
8.5,-11.1052859801535,-11.3913173016246,-10.8192547378697,1.5032651135698e-05,1.12931150943041e-05,2.00104736723006e-05
9,-11.0449032469549,-11.3283268491198,-10.7614795774303,1.5968328807503e-05,1.20273558422923e-05,2.12006317451596e-05
9.5,-10.9845204637026,-11.265343079687,-10.7036979564891,1.69622467365116e-05,1.2809248873964e-05,2.24617216736078e-05
10,-10.9241377586363,-11.2023652907518,-10.6459102051987,1.8018027767539e-05,1.36418908368796e-05,2.37979716621339e-05
10.5,-10.8637549764405,-11.1393945921649,-10.5881153674225,1.91395252477378e-05,1.45285541657358e-05,2.5213893968612e-05
11,-10.8033722187469,-11.0764305254077,-10.530313863604,2.03308276832104e-05,1.54727441258729e-05,2.67142383381724e-05
11.5,-10.7429899796557,-11.0134741716191,-10.4725058110848,2.15962692163885e-05,1.64781685452908e-05,2.83040455542505e-05
12,-10.6826072315997,-10.9505249477708,-10.4146895703675,2.29404866695404e-05,1.75488006789237e-05,2.99887103028595e-05
12.5,-10.6222245036182,-10.8875828400988,-10.3568661026847,2.43683718144894e-05,1.8688861746341e-05,3.17738763988018e-05
13,-10.5618417667029,-10.8246490224241,-10.2990345044976,2.58851330727339e-05,1.99028220959008e-05,3.36655834689736e-05
13.5,-10.5014590168637,-10.7617228638655,-10.2411951634143,2.74963025003672e-05,2.11954745464027e-05,3.56701924465597e-05
14,-10.4410762420887,-10.6988049150986,-10.1833475936623,2.9207756742835e-05,2.25718971341848e-05,3.77944763749838e-05
14.5,-10.3806940405754,-10.6358957025466,-10.1254923482265,3.10257193632424e-05,2.40374938584864e-05,4.00455761700869e-05
15,-10.320311236631,-10.5729948141291,-10.0676276945867,3.2956856302917e-05,2.559803891927e-05,4.24311542883515e-05
15.5,-10.2599285314448,-10.5101031867726,-10.0097537668055,3.50081897340715e-05,2.72596441209316e-05,4.49592620134354e-05
16,-10.199545740499,-10.4472204060573,-9.95187105730676,3.71872074902058e-05,2.90288496762514e-05,4.76384162902832e-05
16.5,-10.1391630156474,-10.384347488825,-9.89397849136351,3.95018514245749e-05,3.09125753119588e-05,5.04777207970619e-05
17,-10.0787802782302,-10.321484454558,-9.83607608471144,4.19605663046241e-05,3.29182134009898e-05,5.34867774695158e-05
17.5,-10.0183980245739,-10.258631811638,-9.77816426275359,4.45722974836826e-05,3.50536149926484e-05,5.6675742380321e-05
18,-9.95801524455914,-10.195789105711,-9.72024145603139,4.73466143012047e-05,3.73271689750254e-05,6.0055498033762e-05
18.5,-9.89763248109177,-10.132957359375,-9.66230771666325,5.02936122938991e-05,3.97477485239506e-05,6.36374950408936e-05
19,-9.83724974617166,-10.0701365400949,-9.60436295857635,5.34240389242768e-05,4.23248345032334e-05,6.74338825047016e-05
19.5,-9.77686702137484,-10.0073272801788,-9.54640666602567,5.67493122071028e-05,4.50684875249863e-05,7.14575732126831e-05
20,-9.71648426186593,-9.94453013092063,-9.48843835537508,6.02815626189113e-05,4.79894131422043e-05,7.5722262263298e-05
20.5,-9.65610202276268,-9.88174505565806,-9.43045897963178,6.40336377546191e-05,5.10990293696523e-05,8.02423618733884e-05
21,-9.59571930570574,-9.81897257048734,-9.37246597766193,6.80192839354278e-05,5.44094573706388e-05,8.50334390997886e-05
21.5,-9.53533655478761,-9.75621277899227,-9.31446024760205,7.22530111670494e-05,5.7933614589274e-05,9.01117268949748e-05
22,-9.47495377374676,-9.69346666449163,-9.25644091495956,7.67502607777714e-05,6.16851914674044e-05,9.5494594424963e-05
22.5,-9.41457104585229,-9.63073478184144,-9.198407499632,8.152742870152e-05,6.56787725165486e-05,0.000101200435310602
23,-9.35418828721753,-9.56801669193342,-9.14035981542266,8.66019446402789e-05,6.99299387633801e-05,0.000107248732820153
23.5,-9.29380608498597,-9.50531398461735,-9.08229783984107,9.1992262750864e-05,7.44551233947277e-05,0.000113660134375095
24,-9.23342328741678,-9.44262607314011,-9.02422025806064,9.7718145698309e-05,7.92719610035418e-05,0.000120456693693995
24.5,-9.17304056165887,-9.37995463184069,-8.96612673689334,0.000103800417855382,8.43990314751864e-05,0.000127661703154445
25,-9.11265780270504,-9.31729849306692,-8.90801677161246,0.000110261272639036,8.98563303053379e-05,0.000135299898684025
25.5,-9.05227502864881,-9.25466001518685,-8.84989001958429,0.000117124272510409,9.56648122519255e-05,0.000143397506326437
26,-8.99189251485866,-9.19203908614546,-8.79174601340442,0.000124414414167404,0.000101846978068352,0.000151982372626662
26.5,-8.93150978800328,-9.12943595421793,-8.73358359534221,0.00013215834274888,0.000108426725491881,0.000161084160208702
27,-8.87112705748059,-9.06685126455777,-8.67540276762154,0.000140384277328849,0.000115429423749447,0.000170734170824289
27.5,-8.81074453527464,-9.00428656453408,-8.61720253689277,0.000149122187867761,0.0001228819321841,0.000180965792387724
28,-8.75036182572431,-8.94174137399348,-8.55898224110844,0.000158404000103474,0.000130813047289848,0.000191814415156841
28.5,-8.68997900844636,-8.8792167992608,-8.50074131840757,0.000168263558298349,0.000139253186061978,0.00020331759005785
29,-8.62959652564998,-8.81671390008727,-8.44247922075233,0.000178736746311188,0.000148234674707055,0.000215515177696943
29.5,-8.56921380220131,-8.75423290631088,-8.38419465631643,0.000189861860126257,0.000157791990786791,0.000228449665009975
30,-8.50883100451884,-8.6917747033949,-8.3258873571088,0.000201679449528456,0.000167961679399014,0.000242165941745043
30.5,-8.44844857676916,-8.62934040621232,-8.26755663504969,0.00021423252299428,0.000178782530128956,0.000256711766123772
31,-8.38806579875929,-8.56693036193528,-8.20920131016415,0.000227567013353109,0.000190295893698931,0.000272137988358736
31.5,-8.32768303560795,-8.50454570464363,-8.15082036663343,0.000241731479763985,0.000202545560896397,0.000288498587906361
32,-8.26730053866667,-8.44218748386064,-8.0924136921274,0.00025677751749754,0.000215578060597181,0.000305850636214018
32.5,-8.20691779199755,-8.37985578457292,-8.03397984117992,0.000272760130465031,0.000229443032294512,0.000324255153536797
33,-8.14653506215987,-8.31755249020897,-7.97551764572895,0.000289737544953823,0.00024419279769063,0.000343776904046535
33.5,-8.08615254545868,-8.25527819126223,-7.91702697053186,0.000307771619409323,0.000259883217513561,0.000364484339952469
34,-8.02576976023042,-8.19303359381405,-7.85850605906298,0.000326928272843361,0.000276573598384857,0.00038645077496767
34.5,-7.96538707309947,-8.13081995434497,-7.79995414053847,0.000347277261316776,0.000294326767325401,0.000409753769636154
35,-7.90500454155603,-8.06863879695526,-7.74137039241578,0.000368892773985863,0.00031320933252573,0.000434475764632225
35.5,-7.84462178008707,-8.00649023408183,-7.68275341541102,0.000391853787004948,0.000333292447030544,0.000460704639554024
36,-7.78423909181192,-7.94437575091624,-7.62410238073136,0.000416243933141232,0.000354651212692261,0.000488533563911915
36.5,-7.72385653810846,-7.88229683844726,-7.56541627321391,0.000442152135074139,0.000377365313470364,0.00051806166768074
37,-7.66347381776917,-7.82025427302623,-7.50669334185701,0.00046967301517725,0.000401519574224949,0.000549394749104977
37.5,-7.60309106174902,-7.75824899902062,-7.44793309193334,0.000498906895518303,0.000427203960716724,0.000582644641399384
38,-7.54270856386538,-7.69628301255628,-7.38913417779344,0.000529960244894028,0.000454513467848301,0.000617930740118027
38.5,-7.48232583148601,-7.63435679687196,-7.33029482149284,0.000562946572899818,0.000483549535274506,0.000655380338430405
39,-7.42194305737161,-7.57247178932997,-7.27141435121705,0.000597986094653606,0.000514419339597225,0.00069512814283371
39.5,-7.36156057039303,-7.51062928247395,-7.2124919546113,0.000635206401348114,0.000547236613929272,0.000737317502498627
40,-7.30117782395074,-7.44883041112791,-7.15352523399794,0.000674743577837944,0.000582122057676315,0.00078210212290287
40.5,-7.24079505968749,-7.38707630577577,-7.09451379954852,0.000716741681098938,0.000619203671813011,0.000829644054174423
41,-7.18041256226747,-7.32536891180898,-7.03545633219379,0.000761353671550751,0.00065861664712429,0.000880116447806358
41.5,-7.12002980968341,-7.26370894333569,-6.97635076331472,0.000808742642402649,0.000700505077838898,0.000933704301714897
42,-7.05964708444659,-7.20209751135374,-6.9171965890821,0.000859081223607063,0.000745021477341652,0.000990603119134903
42.5,-6.9992646397115,-7.14053665254144,-6.85799250239116,0.000912552773952484,0.000792326778173447,0.00105102173984051
43,-6.93888185221967,-7.07902685287039,-6.79873668557379,0.000969352871179581,0.000842592716217041,0.00111518308520317
43.5,-6.87849910174467,-7.01756976487676,-6.7394284104286,0.00102968834340572,0.00089600034058094,0.00118332333862782
44,-6.81811648588589,-6.95616670128874,-6.68006637126007,0.00109377913177013,0.000952741727232933,0.00125569462776184
44.5,-6.75773387575401,-6.89481844872574,-6.62064921286333,0.00116185910999775,0.00101302087306976,0.00133256554603577
45,-6.69735106598771,-6.83352644017096,-6.56117574205505,0.00123417682945728,0.00107705324888229,0.0014142219722271
45.5,-6.63696849208497,-6.77229181053848,-6.50164511894858,0.00131099551916122,0.00114506736397743,0.00150096789002419
46,-6.57658581439851,-6.71111576616015,-6.44205590242487,0.00139259576797485,0.00121730513870716,0.00159312799572945
46.5,-6.51620312364841,-6.64999900378969,-6.38240717856788,0.00147927507758141,0.00129402339458466,0.00169104740023613
47,-6.45582047366243,-6.5889427705959,-6.32269813239524,0.0015713495016098,0.00137549340724945,0.00179509356617928
47.5,-6.39543782121405,-6.52794807455996,-6.26292763821996,0.00166915491223335,0.00146200269460678,0.00190565854310989
48,-6.33505507106226,-6.46701541712311,-6.20309477554254,0.00177304819226265,0.0015538564324379,0.00202315971255302
48.5,-6.27467246688909,-6.40614592454664,-6.14319902425837,0.00188340783119202,0.00165137678384781,0.00214804098010063
49,-6.21428984536581,-6.34534005341838,-6.08323965018211,0.00200063660740852,0.00175490587949753,0.00228077575564384
49.5,-6.15390708740582,-6.28459859027624,-6.02321564499308,0.00212516233325005,0.00186480537056923,0.00242186918854713
50,-6.09352447124309,-6.22392200654536,-5.9631269665343,0.00225743860006332,0.00198145866394043,0.00257185727357864
50.5,-6.03314188380432,-6.16331083288307,-5.90297290208516,0.00239794805645943,0.00210527151823044,0.00273131281137466
51,-5.97275914883898,-6.10276514663416,-5.84275306432185,0.00254720360040665,0.00223667442798615,0.00290084540843964
51.5,-5.91237651950961,-6.04228552036806,-5.78246744639513,0.00270574897527695,0.00237612202763557,0.00308110356330872
52,-5.85199384951978,-5.98187191753326,-5.72211590265686,0.00287416279315948,0.00252409696578979,0.0032727786898613
52.5,-5.79161114847762,-5.92152431528921,-5.66169797367601,0.00305305927991867,0.00268111020326614,0.0034766086935997
53,-5.73122854258963,-5.86124274903308,-5.6012142036738,0.00324309051036835,0.00284770250320435,0.00369337648153305
53.5,-5.67084580638446,-5.8010272230204,-5.54066440444621,0.0034449502825737,0.00302444636821747,0.00392391890287399
54,-5.61046315224363,-5.74087730816737,-5.4800489637354,0.00365937411785126,0.00321194916963577,0.0041691255569458
54.5,-5.55008049706721,-5.68079265434437,-5.41936830051235,0.0038871443271637,0.00341085374355316,0.0044299441576004
55,-5.48969779951855,-5.62077288100268,-5.35862272607617,0.00412909179925919,0.00362184077501297,0.00470738500356674
55.5,-5.42931512972282,-5.56081737788627,-5.29781288089965,0.0043860986828804,0.0038456317782402,0.00500252306461334
56,-5.36893249724338,-5.5009255721194,-5.236939401462,0.00465910226106644,0.00408299058675766,0.00531650364398956
56.5,-5.30854983465702,-5.44109680024223,-5.1760028983714,0.00494909852743149,0.00433472633361816,0.00565054714679718
57,-5.24816714360235,-5.38133012445941,-5.11500414256984,0.00525714516639709,0.00460169702768326,0.0060059529542923
57.5,-5.18778452714425,-5.32162485817923,-5.05394414480764,0.00558436512947083,0.00488481014966965,0.0063841038942337
58,-5.12740184602113,-5.26197997644951,-4.9928236790895,0.00593195259571075,0.00518502831459045,0.00678647458553314
58.5,-5.06701919314817,-5.20239450867447,-4.93164384030466,0.00630117475986481,0.00550337076187134,0.0072146338224411
59,-5.00663649691767,-5.14286743460263,-4.87040553360549,0.00669337868690491,0.0058409172296524,0.00767025411128998
59.5,-4.94625383794379,-5.08339759768833,-4.809110057148,0.00710999429225922,0.00619881212711334,0.00815511405467987
60,-4.8858711505948,-5.02398399986337,-4.74775836854799,0.00755254149436951,0.00657826662063599,0.00867111086845398
60.5,-4.82548850815206,-4.96462530727489,-4.68635167762084,0.00802263379096985,0.00698056578636169,0.00922026336193085
61,-4.765105795868,-4.90532035616871,-4.62489128699032,0.00852198660373688,0.00740706980228424,0.00980472087860107
61.5,-4.70472319098683,-4.84606800156205,-4.56337824118433,0.00905241966247559,0.00785921931266785,0.0104267752170563
62,-4.64434047011509,-4.78686697137096,-4.50181406005634,0.00961586952209473,0.00833854138851166,0.0110888624191284
62.5,-4.58395781142067,-4.72771593709818,-4.44019975652247,0.0102143895626068,0.00884665429592133,0.0117935824394226
63,-4.52357511171811,-4.66861366227321,-4.37853665706005,0.0108501636981964,0.00938527166843414,0.0125437009334564
63.5,-4.46319249520164,-4.60955883608297,-4.31682615487816,0.0115255093574524,0.00995620965957642,0.0133421623706818
64,-4.40280986994353,-4.55055016211467,-4.25506941744393,0.0122428905963898,0.0105613923072815,0.0141921055316925
64.5,-4.34242712780991,-4.49158650620732,-4.19326779764646,0.0130049252510071,0.0112028563022614,0.0150968706607819
65,-4.28204449779262,-4.43266642399519,-4.13142256453359,0.013814389705658,0.0118827629089355,0.0160600161552429
65.5,-4.22166184193908,-4.37378877429311,-4.06953491040401,0.0146742379665375,0.0126033985614777,0.0170853328704834
66,-4.16127914008887,-4.31495223333734,-4.00760607464579,0.0155876064300537,0.0133671879768372,0.0181768572330475
66.5,-4.100896502684,-4.25615566715611,-3.94563735329095,0.0165578246116638,0.0141766977310181,0.0193388867378235
67,-4.04051380735786,-4.19739770430201,-3.88362992054478,0.0175884330272675,0.0150346505641937,0.020576000213623
67.5,-3.98013119898777,-4.13867730140088,-3.82158503337981,0.0186831879615784,0.0159439265727997,0.0218930721282959
68,-3.919748504901,-4.07999324288186,-3.75950365520148,0.0198460853099823,0.0169075798988342,0.0232953000068665
68.5,-3.85936584417623,-4.02134449438067,-3.6973872224453,0.0210813641548157,0.01792884349823,0.0247882080078125
69,-3.79898312077913,-3.9627297237619,-3.63523661760484,0.0223935317993164,0.0190111482143402,0.0263776922225952
69.5,-3.7386005228609,-3.90414789715112,-3.57305306709657,0.0237873697280884,0.0201581239700317,0.028070023059845
70,-3.67821785969008,-3.84559804918682,-3.51083767558156,0.0252679657936096,0.0213736152648926,0.0298718810081482
70.5,-3.61783513502191,-3.78707909836343,-3.44859123566509,0.0268407201766968,0.0226616978645325,0.0317903900146484
71,-3.55745251820622,-3.72859000279323,-3.38631493753411,0.0285113644599915,0.0240266895294189,0.0338331246376038
71.5,-3.49706988432382,-3.67012990096012,-3.32400989500755,0.0302859950065613,0.0254731607437134,0.036008152961731
72,-3.43668721492933,-3.61169757345722,-3.26167674800165,0.0321710848808289,0.0270059633255005,0.0383240842819214
72.5,-3.3763045640284,-3.55329244456673,-3.19931657308184,0.0341735076904297,0.0286302208900452,0.0407900714874268
73,-3.31592180877682,-3.4949132500945,-3.13693033099187,0.0363005709648132,0.0303513813018799,0.0434158658981323
73.5,-3.25553920478457,-3.43655953226393,-3.07451885158164,0.0385600233078003,0.0321751928329468,0.0462118577957153
74,-3.19515657320474,-3.3782302441483,-3.01208292852763,0.040960111618042,0.0341077637672424,0.0491891145706177
74.5,-3.1347738362361,-3.31992427437806,-2.94962334569029,0.0435095930099487,0.0361555695533752,0.0523594236373901
75,-3.0743912198542,-3.26164135047734,-2.88714103184631,0.0462177562713623,0.0383254408836365,0.055735330581665
75.5,-3.01400854709489,-3.20338055889486,-2.82463656726526,0.0490944862365723,0.0406246376037598,0.0593302154541016
76,-2.95362585645496,-3.14514091112922,-2.76211074270094,0.0521502733230591,0.0430608558654785,0.0631583166122437
76.5,-2.89324317459633,-3.0869219355803,-2.69956448770876,0.05539626121521,0.0456422281265259,0.067234787940979
77,-2.83286048006576,-3.02872282363907,-2.63699799862802,0.0588442897796631,0.0483773851394653,0.0715758180618286
77.5,-2.77247779699573,-2.97054312928018,-2.57441247944454,0.0625069332122803,0.0512754535675049,0.0761985778808594
78,-2.71209522689688,-2.91238209439962,-2.51180828253721,0.0663975429534912,0.0543461179733276,0.0811214160919189
78.5,-2.65171246662715,-2.85423904594955,-2.4491858768241,0.0705303287506104,0.0575996351242065,0.0863638687133789
79,-2.59132980514449,-2.79611339226275,-2.38654624771658,0.0749203443527222,0.0610468673706055,0.0919466972351074
79.5,-2.53094721298705,-2.73800464901833,-2.32388968691099,0.0795836019515991,0.0646993160247803,0.0978920745849609
80,-2.4705644963241,-2.67991227611288,-2.26121673896627,0.0845371246337891,0.0685691690444946,0.104223594665527
80.5,-2.41018182429601,-2.62183566221374,-2.19852803113845,0.0897989654541016,0.0726693439483643,0.110966377258301
81,-2.34979917020568,-2.56377421070026,-2.13582420345728,0.0953883171081543,0.0770135259628296,0.118147172927856
81.5,-2.28941648938182,-2.5057276069906,-2.07310522852487,0.101325569152832,0.0816161918640137,0.125794553756714
82,-2.22903401732039,-2.44769547552198,-2.01037230795556,0.107632350921631,0.0864926815032959,0.133938798904419
82.5,-2.16865121160818,-2.38967706738106,-1.9476253528498,0.114331722259521,0.0916592788696289,0.142612323760986
83,-2.10826844782122,-2.33167197120124,-1.88486501163533,0.121448078155518,0.097133207321167,0.151849555969238
83.5,-2.04788598106421,-2.27368026217757,-1.82209165929355,0.129007339477539,0.102932662963867,0.161687202453613
84,-1.98750319835761,-2.21570065016444,-1.75930576541035,0.137037153244019,0.109077062606812,0.172164344787598
84.5,-1.927120472104,-2.15773338737726,-1.69650751727084,0.145566759109497,0.115586814880371,0.183322658538818
85,-1.86673797904549,-2.09977792803823,-1.63369804380896,0.154627237319946,0.122483625411987,0.195206356048584
85.5,-1.80635521689605,-2.0418340587564,-1.57087640546211,0.164251708984375,0.129790449142456,0.207862930297852
86,-1.74597248912978,-1.98390111938477,-1.50804388824322,0.174475231170654,0.137531661987305,0.221342525482178
86.5,-1.68558972984107,-1.92597887749893,-1.44520058013243,0.185335102081299,0.145733032226562,0.235698795318604
87,-1.62520719596049,-1.86806735686357,-1.38234715974812,0.196870880126953,0.154421815872192,0.250988750457764
87.5,-1.5648244695271,-1.81016574521649,-1.31948329104592,0.209124717712402,0.163627014160156,0.267273368835449
88,-1.50444168087785,-1.75227366975329,-1.25660977447908,0.222141284942627,0.173379287719727,0.284617309570312
88.5,-1.44405924436924,-1.69439174852261,-1.1937266830437,0.235967960357666,0.1837109375,0.303089637756348
89,-1.38367648338091,-1.6365183915818,-1.13083453501376,0.250655326843262,0.194656581878662,0.322763786315918
89.5,-1.32329370115275,-1.57865432423978,-1.06793307479271,0.266256885528564,0.206252460479736,0.343718223571777
90,-1.26291125824164,-1.52079912770981,-1.00502339366847,0.282829437255859,0.218537178039551,0.366036071777344
90.5,-1.20252845910092,-1.46295208522417,-0.942104867091213,0.300433616638184,0.231551704406738,0.389806480407715
91,-1.14214573526187,-1.40511329119149,-0.879178153906592,0.3191335105896,0.245339260101318,0.41512393951416
91.5,-1.08176322863486,-1.34728274457976,-0.816243790627626,0.338997268676758,0.259945640563965,0.44208911895752
92,-1.0213804406976,-1.28945960388458,-0.753301365373135,0.360097503662109,0.275419578552246,0.470809669494629
92.5,-0.960997704246011,-1.23164414613411,-0.690351333673677,0.38251106262207,0.291812400817871,0.501399879455566
93,-0.900615285965452,-1.17383611283318,-0.627394415835484,0.406319580078125,0.309178619384766,0.533981323242188
93.5,-0.840232538995737,-1.11603487468689,-0.564430081000404,0.431610145568848,0.327576103210449,0.568684158325195
94,-0.779849767339555,-1.05824063967881,-0.501458897832771,0.458474884033203,0.347065887451172,0.605646438598633
94.5,-0.719467249704697,-1.00045343553676,-0.438481068864133,0.487011642456055,0.367712669372559,0.645015411376953
95,-0.659084526851313,-0.942672232162678,-0.375496772729406,0.517324714660645,0.389585380554199,0.686947937011719
95.5,-0.722003612638847,-1.01934908065775,-0.424658286756491,0.485777969360352,0.360829734802246,0.653993225097656
96,-0.662259524833232,-0.962309785277905,-0.362209224872153,0.515684814453125,0.382009506225586,0.696136703491211
