"","rep_date","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"1","03/23/2020",NA,NA,NA,NA,NA,2,4,1
"2","03/24/2020",NA,NA,NA,NA,1,2,6,2
"3","03/25/2020",NA,NA,NA,1,2,3,7,6
"4","03/26/2020",NA,NA,NA,1,2,3,7,11
"5","03/27/2020",NA,NA,NA,1,2,4,10,14
"6","03/28/2020",NA,NA,NA,2,3,4,14,21
"7","03/29/2020",NA,NA,NA,2,3,5,15,22
"8","03/30/2020",NA,NA,NA,2,3,5,18,23
"9","03/31/2020",NA,NA,NA,2,4,5,22,36
"10","04/01/2020",NA,NA,NA,2,4,7,23,44
"11","04/02/2020",NA,NA,NA,3,4,9,26,55
"12","04/03/2020",NA,NA,1,4,6,11,27,62
"13","04/04/2020",NA,NA,1,4,8,12,31,70
"14","04/05/2020",NA,NA,1,5,8,14,35,77
"15","04/06/2020",NA,NA,1,5,8,14,39,83
"16","04/07/2020",NA,NA,2,7,12,18,46,94
"17","04/08/2020",NA,1,2,7,13,20,52,98
"18","04/09/2020",NA,1,2,9,13,22,57,122
"19","04/10/2020",NA,2,2,11,13,25,65,132
"20","04/11/2020",NA,2,2,11,15,30,71,143
"21","04/12/2020",NA,2,2,11,15,34,78,148
"22","04/13/2020",NA,2,2,12,15,38,82,157
"23","04/14/2020",NA,2,2,12,17,40,86,170
"24","04/15/2020",NA,3,2,13,18,43,96,182
"25","04/16/2020",NA,3,2,14,21,47,96,191
"26","04/17/2020",NA,3,2,14,21,54,100,197
"27","04/18/2020",NA,3,2,14,22,56,109,205
"28","04/19/2020",NA,3,2,14,23,56,112,212
"29","04/20/2020",NA,4,2,15,26,59,114,229
"30","04/21/2020",NA,4,2,15,28,65,122,250
"31","04/22/2020",NA,4,3,16,28,66,130,261
"32","04/23/2020",NA,4,3,17,30,74,141,283
"33","04/24/2020",1,4,4,22,36,82,169,356
"34","04/25/2020",1,4,4,20,33,86,168,355
"35","04/26/2020",1,4,4,20,34,88,171,357
"36","04/27/2020",1,4,4,20,34,92,177,373
"37","04/28/2020",1,4,4,21,34,97,183,391
"38","04/29/2020",1,4,4,21,35,99,189,412
"39","04/30/2020",1,4,4,21,35,102,189,420
"40","05/01/2020",1,4,4,21,40,107,197,445
"41","05/02/2020",1,5,4,21,41,108,201,451
"42","05/03/2020",1,5,4,21,41,109,204,457
"43","05/04/2020",1,5,4,22,41,109,207,462
"44","05/05/2020",1,5,6,23,47,117,215,489
"45","05/06/2020",2,5,5,23,47,121,218,500
"46","05/07/2020",2,5,5,24,47,125,222,514
"47","05/08/2020",1,5,5,24,47,129,225,524
"48","05/09/2020",1,5,5,25,47,131,226,527
"49","05/10/2020",1,5,5,25,47,131,227,530
"50","05/11/2020",1,5,6,26,47,134,229,539
"51","05/12/2020",1,6,7,26,49,135,234,551
"52","05/13/2020",1,6,7,27,51,142,243,585
"53","05/14/2020",1,6,7,28,55,146,250,598
"54","05/15/2020",2,7,7,30,57,154,267,626
"55","05/16/2020",2,7,7,31,60,158,280,647
"56","05/17/2020",2,7,7,31,62,163,283,660
"57","05/18/2020",2,7,7,31,65,164,284,664
"58","05/19/2020",2,7,7,31,66,167,290,687
"59","05/20/2020",2,7,7,31,70,170,302,710
"60","05/21/2020",2,7,7,33,71,170,306,714
"61","05/22/2020",2,7,7,34,71,171,308,724
"62","05/23/2020",2,8,7,33,71,171,309,726
"63","05/24/2020",2,8,8,33,71,171,311,728
"64","05/25/2020",2,8,8,33,71,171,311,729
"65","05/26/2020",2,8,8,34,71,174,320,735
"66","05/27/2020",2,9,8,36,73,179,326,759
"67","05/28/2020",2,9,8,36,74,179,337,776
"68","05/29/2020",2,9,8,36,74,179,341,787
"69","05/30/2020",3,9,8,36,74,180,342,791
"70","05/31/2020",3,9,8,36,74,181,342,792
"71","06/01/2020",3,9,9,37,77,182,347,794
"72","06/02/2020",3,9,9,37,78,184,350,804
"73","06/03/2020",3,9,9,37,80,188,357,811
"74","06/04/2020",3,9,9,38,82,191,362,818
"75","06/05/2020",3,9,10,40,84,193,363,822
"76","06/06/2020",3,9,10,40,85,193,362,825
"77","06/07/2020",3,9,10,40,85,193,362,825
"78","06/08/2020",3,9,10,42,87,196,365,831
"79","06/09/2020",3,9,10,43,90,197,368,833
"80","06/10/2020",3,9,10,43,95,199,375,839
"81","06/11/2020",3,9,10,43,96,203,377,842
"82","06/12/2020",3,9,10,43,97,205,378,850
"83","06/13/2020",3,9,10,43,98,205,376,854
"84","06/14/2020",3,9,10,43,98,205,376,855
"85","06/15/2020",3,9,11,43,99,207,377,856
"86","06/16/2020",3,9,12,43,101,207,379,863
"87","06/17/2020",3,9,12,43,103,208,381,872
"88","06/18/2020",3,9,12,43,104,209,382,876
"89","06/19/2020",3,9,11,44,104,210,382,880
"90","06/20/2020",3,9,11,44,105,210,384,881
"91","06/21/2020",3,9,11,44,105,210,384,881
"92","06/22/2020",3,9,11,44,104,211,386,883
"93","06/23/2020",3,9,11,44,106,211,388,893
"94","06/24/2020",3,9,11,44,107,211,388,894
"95","06/25/2020",3,9,11,44,107,213,388,894
"96","06/26/2020",3,9,11,44,108,213,390,895
"97","06/27/2020",3,9,11,44,108,213,390,896
"98","06/28/2020",3,9,11,44,108,214,390,897
"99","06/29/2020",3,9,11,44,110,214,393,898
"100","06/30/2020",3,9,11,44,111,216,394,902
"101","07/01/2020",3,10,11,44,111,216,396,906
"102","07/02/2020",3,10,11,44,111,217,398,907
"103","07/03/2020",3,10,11,44,111,217,398,907
"104","07/04/2020",3,10,11,44,111,217,398,907
"105","07/05/2020",3,10,11,44,111,217,398,907
"106","07/06/2020",3,10,12,44,111,217,396,898
"107","07/07/2020",3,10,12,45,111,217,398,900
"108","07/08/2020",3,10,12,45,111,217,400,906
"109","07/09/2020",3,10,12,46,111,217,401,906
"110","07/10/2020",3,10,12,47,111,221,403,917
"111","07/11/2020",3,10,12,47,111,221,403,918
"112","07/12/2020",3,10,12,47,111,221,403,918
"113","07/13/2020",3,10,12,47,111,221,405,918
"114","07/14/2020",3,11,12,47,111,223,409,922
"115","07/15/2020",3,11,12,47,111,224,412,924
"116","07/16/2020",3,11,12,47,111,224,411,926
"117","07/17/2020",3,11,12,48,112,226,412,927
"118","07/18/2020",3,11,12,48,112,226,413,927
"119","07/19/2020",3,11,12,48,112,226,413,927
"120","07/20/2020",3,11,12,48,114,226,416,928
"121","07/21/2020",3,11,12,48,114,226,416,933
"122","07/22/2020",3,11,12,49,115,227,417,937
"123","07/23/2020",3,12,13,49,116,227,420,946
"124","07/24/2020",3,12,13,49,116,227,422,948
"125","07/25/2020",3,12,13,49,116,227,424,950
"126","07/26/2020",3,12,13,49,116,227,424,950
"127","07/27/2020",3,12,15,49,116,228,424,952
"128","07/28/2020",3,12,15,50,118,230,427,952
"129","07/29/2020",3,12,15,50,119,233,429,961
"130","07/30/2020",3,12,15,50,118,233,429,962
"131","07/31/2020",3,12,15,51,119,235,433,970
"132","08/01/2020",3,12,15,51,119,237,433,974
"133","08/02/2020",3,12,15,51,119,237,433,974
"134","08/03/2020",3,12,15,51,119,237,433,974
"135","08/04/2020",3,12,15,51,119,237,434,978
"136","08/05/2020",3,12,15,51,119,238,434,979
"137","08/06/2020",3,12,15,51,119,239,434,979
"138","08/07/2020",3,12,16,51,119,239,434,983
"139","08/08/2020",3,12,16,51,119,238,435,983
"140","08/09/2020",3,12,16,51,119,238,435,984
"141","08/10/2020",3,12,16,52,121,238,435,986
"142","08/11/2020",3,12,16,52,121,238,437,996
"143","08/12/2020",3,12,16,53,121,238,437,995
"144","08/13/2020",3,12,17,54,121,238,441,996
"145","08/14/2020",3,12,17,54,122,239,443,998
"146","08/15/2020",3,13,17,54,122,239,446,1002
"147","08/16/2020",3,13,17,53,122,239,446,1003
"148","08/17/2020",3,13,17,53,122,239,446,1003
"149","08/18/2020",3,13,17,54,122,239,446,1005
"150","08/19/2020",3,13,17,54,122,240,446,1005
"151","08/20/2020",3,13,17,54,122,241,446,1007
"152","08/30/2020",3,13,17,56,129,249,453,1022
"153","08/31/2020",3,13,17,56,129,249,454,1024
"154","09/01/2020",3,13,18,56,129,249,454,1024
"155","09/02/2020",3,13,18,56,129,250,456,1027
"156","09/03/2020",3,13,18,56,130,250,458,1029
"157","09/04/2020",3,13,17,56,131,250,461,1033
"158","09/05/2020",3,14,17,56,132,250,462,1038
"159","09/06/2020",3,15,17,56,132,250,462,1037
"160","09/07/2020",3,15,17,56,132,250,462,1038
"161","09/08/2020",3,15,17,56,132,250,462,1038
"162","09/09/2020",3,15,17,56,134,250,462,1040
"163","09/10/2020",3,15,17,56,133,250,462,1043
"164","09/11/2020",3,15,17,58,134,252,462,1044
"165","09/12/2020",3,15,17,58,134,252,463,1046
"166","09/13/2020",3,15,17,58,134,252,463,1046
"167","09/14/2020",3,15,17,58,134,252,463,1047
"168","09/15/2020",3,15,17,58,135,252,463,1051
"169","09/16/2020",3,15,17,58,135,252,463,1051
"170","09/17/2020",3,15,17,59,135,252,467,1059
"171","09/18/2020",3,15,17,59,135,253,467,1060
"172","09/19/2020",3,15,17,59,135,253,469,1062
"173","09/20/2020",3,15,18,59,135,253,469,1063
"174","09/21/2020",3,15,18,59,135,252,471,1064
"175","09/22/2020",3,15,18,60,135,252,472,1069
"176","09/23/2020",3,15,18,60,136,252,472,1074
"177","09/25/2020",3,15,18,60,137,252,474,1078
"178","09/26/2020",3,15,18,60,137,252,474,1080
