Date,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80+ years,Total
25/03/2020,0,0,0,0,0,0,1,0,1
26/03/2020,0,0,0,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0,0,1,1
29/03/2020,0,0,0,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0,1,1,2
31/03/2020,0,0,0,1,0,0,0,0,1
01/04/2020,0,0,0,0,0,0,0,1,1
02/04/2020,0,0,0,0,0,0,1,0,1
03/04/2020,0,0,0,0,0,0,1,2,3
04/04/2020,0,0,0,0,0,1,0,0,1
05/04/2020,0,0,0,1,0,0,0,0,1
06/04/2020,0,0,0,0,0,0,0,0,0
07/04/2020,0,0,1,0,0,0,0,0,1
08/04/2020,0,0,0,0,0,0,0,3,3
09/04/2020,0,0,0,0,0,0,0,1,1
10/04/2020,0,0,0,0,0,0,0,2,2
11/04/2020,0,0,0,0,0,0,1,0,1
12/04/2020,0,0,0,0,1,0,1,4,6
13/04/2020,0,0,0,1,0,0,1,3,5
14/04/2020,0,0,0,0,1,3,0,1,5
15/04/2020,0,0,0,0,0,0,0,0,0
16/04/2020,0,0,3,0,1,0,1,3,8
17/04/2020,0,0,0,1,1,0,1,4,7
18/04/2020,0,0,0,1,0,1,0,0,2
19/04/2020,0,0,1,0,0,0,0,1,2
20/04/2020,0,0,0,0,0,0,2,1,3
21/04/2020,0,0,0,0,0,1,1,5,7
22/04/2020,0,0,2,0,0,1,0,3,6
23/04/2020,0,0,2,0,0,0,2,3,7
24/04/2020,0,0,0,0,0,3,0,3,6
25/04/2020,0,0,0,1,2,1,0,5,9
26/04/2020,0,0,0,0,1,0,4,1,6
27/04/2020,0,0,0,0,0,2,2,1,5
28/04/2020,0,0,0,1,0,0,1,4,6
29/04/2020,0,0,0,0,2,0,0,0,2
30/04/2020,0,0,0,1,1,0,1,8,11
01/05/2020,0,0,0,1,0,1,3,3,8
02/05/2020,0,0,0,0,0,1,1,6,8
03/05/2020,0,0,0,0,3,2,2,5,12
04/05/2020,0,0,0,0,1,3,1,0,5
05/05/2020,0,0,0,0,1,0,1,4,6
06/05/2020,0,0,0,0,0,5,0,2,7
07/05/2020,0,0,0,0,1,0,1,1,3
08/05/2020,0,0,0,1,1,4,1,2,9
09/05/2020,0,0,0,1,0,0,3,6,10
10/05/2020,0,0,2,0,1,2,1,3,9
11/05/2020,0,0,1,1,1,3,0,2,8
12/05/2020,0,0,0,1,2,2,3,3,11
13/05/2020,0,0,1,0,2,0,2,7,12
14/05/2020,0,1,1,0,1,1,2,5,11
15/05/2020,0,0,0,0,3,2,2,4,11
16/05/2020,0,0,0,0,1,2,1,2,6
17/05/2020,0,1,0,0,1,0,0,4,6
18/05/2020,0,0,1,0,0,1,2,1,5
19/05/2020,0,0,0,0,1,1,1,3,6
20/05/2020,0,0,0,0,1,0,2,4,7
21/05/2020,0,0,0,1,0,1,3,6,11
22/05/2020,0,0,0,0,0,1,2,5,8
23/05/2020,0,0,0,0,1,1,1,3,6
24/05/2020,0,0,0,0,1,2,1,5,9
25/05/2020,0,0,0,0,3,0,0,0,3
26/05/2020,0,0,0,0,0,2,2,1,5
27/05/2020,0,1,0,0,1,1,0,1,4
28/05/2020,0,1,0,0,1,1,2,1,6
29/05/2020,0,0,0,1,2,1,1,4,9
30/05/2020,0,0,0,1,1,3,2,0,7
31/05/2020,0,0,0,0,0,1,0,4,5
01/06/2020,0,0,1,1,1,3,0,0,6
02/06/2020,0,0,1,0,2,0,0,2,5
03/06/2020,0,0,0,0,0,3,2,3,8
04/06/2020,0,0,0,1,1,2,1,3,8
05/06/2020,0,0,0,0,0,2,0,2,4
06/06/2020,0,0,0,0,1,3,1,0,5
07/06/2020,0,0,0,0,0,1,1,2,4
08/06/2020,0,0,1,0,0,2,1,0,4
09/06/2020,0,0,2,0,0,0,1,1,4
10/06/2020,0,0,0,0,2,1,3,0,6
11/06/2020,0,0,0,0,1,1,1,7,10
12/06/2020,0,0,0,0,1,1,2,2,6
13/06/2020,0,0,0,1,2,0,2,0,5
14/06/2020,0,0,0,0,0,2,0,2,4
15/06/2020,0,0,0,0,0,2,1,2,5
16/06/2020,0,0,0,0,2,0,2,3,7
17/06/2020,0,0,0,1,1,0,2,1,5
18/06/2020,0,0,1,0,0,0,1,2,4
19/06/2020,0,0,0,1,0,4,1,2,8
20/06/2020,0,0,0,0,1,1,0,0,2
21/06/2020,0,0,0,0,2,0,1,0,3
22/06/2020,0,0,0,0,0,0,0,0,0
23/06/2020,0,0,0,0,0,1,2,4,7
24/06/2020,0,0,0,0,0,0,1,3,4
25/06/2020,0,0,0,0,1,1,1,2,5
26/06/2020,0,1,0,0,1,1,1,0,4
27/06/2020,0,0,0,0,0,0,0,2,2
28/06/2020,0,0,0,0,1,0,0,0,1
29/06/2020,0,0,0,0,1,0,0,0,1
30/06/2020,0,0,0,0,1,0,3,0,4
01/07/2020,0,0,0,0,0,1,1,1,3
02/07/2020,0,0,1,0,1,1,0,0,3
03/07/2020,0,0,0,1,3,0,0,4,8
04/07/2020,0,0,0,0,1,1,0,0,2
05/07/2020,0,0,0,0,0,0,0,0,0
06/07/2020,0,0,0,0,0,1,1,0,2
07/07/2020,0,0,0,1,0,0,2,1,4
08/07/2020,0,0,0,1,1,3,1,2,8
09/07/2020,0,0,2,0,0,1,2,1,6
10/07/2020,0,0,0,0,1,0,3,2,6
11/07/2020,0,0,0,1,1,0,1,1,4
12/07/2020,0,0,0,1,0,0,1,0,2
13/07/2020,0,0,0,0,1,0,0,2,3
14/07/2020,0,0,2,0,0,0,0,1,3
15/07/2020,0,0,1,0,0,1,3,1,6
16/07/2020,0,0,0,1,0,1,1,2,5
17/07/2020,0,0,0,1,0,0,1,1,3
18/07/2020,0,0,0,0,0,0,2,2,4
19/07/2020,0,0,0,0,2,0,0,0,2
20/07/2020,0,0,0,0,2,0,4,1,7
21/07/2020,0,0,0,1,1,2,4,2,10
22/07/2020,0,0,1,0,1,0,0,1,3
23/07/2020,0,0,0,1,0,2,0,2,5
24/07/2020,0,0,1,0,0,2,1,1,5
25/07/2020,0,0,0,0,0,2,1,3,6
26/07/2020,0,0,2,0,1,2,0,2,7
27/07/2020,0,0,0,0,1,2,0,2,5
28/07/2020,0,0,0,0,0,2,3,2,7
29/07/2020,0,0,0,0,1,3,0,2,6
30/07/2020,0,0,0,0,0,0,2,1,3
31/07/2020,0,0,1,0,1,0,3,2,7
01/08/2020,0,0,0,0,1,1,4,3,9
02/08/2020,0,0,0,2,0,0,1,0,3
03/08/2020,0,0,0,0,0,1,0,0,1
04/08/2020,0,0,0,0,1,0,0,2,3
05/08/2020,0,0,0,0,1,1,4,3,9
06/08/2020,0,0,0,1,1,0,0,0,2
07/08/2020,0,0,0,0,1,1,1,3,6
08/08/2020,0,0,0,0,0,3,2,1,6
09/08/2020,0,0,1,0,1,0,1,1,4
10/08/2020,0,1,0,1,1,2,0,0,5
11/08/2020,0,0,0,2,1,0,0,0,3
12/08/2020,0,0,0,0,0,0,1,1,2
13/08/2020,0,0,1,0,0,0,0,1,2
14/08/2020,0,0,1,0,1,0,3,1,6
15/08/2020,0,0,1,0,0,3,2,2,8
16/08/2020,0,1,0,0,0,0,1,1,3
17/08/2020,0,0,0,1,0,0,2,1,4
18/08/2020,0,0,0,0,0,2,0,3,5
19/08/2020,0,0,1,1,0,1,0,3,6
20/08/2020,0,0,0,0,2,0,2,1,5
21/08/2020,0,0,0,1,0,0,0,4,5
22/08/2020,0,0,0,1,0,0,1,2,4
23/08/2020,0,0,1,0,0,1,0,0,2
24/08/2020,0,0,0,0,0,1,0,1,2
25/08/2020,0,0,0,0,1,1,1,0,3
26/08/2020,0,0,0,1,0,0,2,2,5
27/08/2020,0,0,0,0,1,3,4,1,9
28/08/2020,0,0,1,0,0,0,0,2,3
29/08/2020,0,0,0,0,1,0,0,1,2
30/08/2020,0,0,0,0,0,1,0,0,1
31/08/2020,0,0,0,1,1,1,4,2,9
01/09/2020,0,0,0,0,1,3,1,3,8
02/09/2020,0,0,0,0,0,1,0,2,3
03/09/2020,0,0,0,0,0,0,1,0,1
04/09/2020,0,0,0,0,1,0,2,0,3
05/09/2020,0,0,0,0,0,3,2,1,6
06/09/2020,0,0,1,0,0,0,0,2,3
07/09/2020,0,0,0,1,1,2,0,0,4
08/09/2020,0,0,0,0,0,0,0,0,0
09/09/2020,0,0,0,0,0,0,1,5,6
10/09/2020,0,1,0,0,0,0,0,2,3
11/09/2020,0,0,1,0,0,0,1,0,2
12/09/2020,0,0,1,0,0,1,1,0,3
13/09/2020,0,0,0,0,0,0,2,0,2
14/09/2020,0,0,0,0,0,0,0,0,0
15/09/2020,0,0,0,1,0,1,4,1,7
16/09/2020,0,0,0,0,0,2,0,0,2
17/09/2020,0,0,0,1,0,2,1,0,4
18/09/2020,0,0,0,1,0,0,1,3,5
19/09/2020,0,0,1,0,1,1,0,3,6
20/09/2020,0,0,0,0,0,2,0,0,2
21/09/2020,0,0,0,0,0,1,1,0,2
22/09/2020,0,0,0,0,0,0,1,2,3
23/09/2020,0,0,0,0,0,1,2,0,3
24/09/2020,0,0,0,0,0,0,0,2,2
25/09/2020,0,0,0,0,1,2,1,2,6
26/09/2020,0,0,0,0,1,1,0,3,5
27/09/2020,0,0,0,0,0,0,0,0,0
28/09/2020,0,0,0,0,0,1,2,0,3
29/09/2020,0,0,1,0,0,0,0,1,2
30/09/2020,0,0,0,0,0,0,0,2,2
01/10/2020,0,1,1,0,0,1,2,0,5
02/10/2020,0,0,0,0,0,2,1,2,5
03/10/2020,0,0,0,0,0,0,1,2,3
04/10/2020,0,0,0,0,1,0,1,0,2
05/10/2020,0,0,0,0,0,0,2,0,2
06/10/2020,0,0,0,0,0,0,0,0,0
07/10/2020,0,0,0,0,0,1,1,0,2
08/10/2020,0,0,0,0,1,0,1,1,3
09/10/2020,0,0,0,0,0,0,1,2,3
10/10/2020,0,0,1,0,1,0,1,2,5
11/10/2020,0,0,0,0,0,1,1,2,4
12/10/2020,0,0,0,0,0,1,2,1,4
13/10/2020,0,0,0,0,0,1,0,2,3
14/10/2020,0,0,0,0,0,0,2,1,3
15/10/2020,0,0,0,0,0,0,1,0,1
16/10/2020,1,0,0,0,0,1,2,2,6
17/10/2020,0,0,0,0,0,0,0,1,1
18/10/2020,0,0,1,0,0,1,1,2,5
19/10/2020,0,0,0,0,1,0,0,0,1
20/10/2020,0,0,0,1,0,1,0,5,7
21/10/2020,0,0,0,1,0,1,2,4,8
22/10/2020,0,0,1,0,0,0,2,0,3
23/10/2020,0,0,0,1,0,2,3,1,7
24/10/2020,0,0,0,0,3,0,1,1,5
25/10/2020,0,1,0,0,0,0,1,0,2
26/10/2020,0,0,1,1,2,2,1,2,9
27/10/2020,0,0,0,1,0,1,0,2,4
28/10/2020,0,0,0,0,2,1,3,5,11
29/10/2020,0,1,0,0,0,0,1,1,3
30/10/2020,0,2,1,0,1,4,2,3,13
31/10/2020,0,0,0,1,0,1,4,5,11
01/11/2020,0,1,0,1,1,3,0,2,8
02/11/2020,0,0,1,0,1,3,2,3,10
03/11/2020,0,0,1,1,2,0,2,3,9
04/11/2020,0,0,0,0,1,1,5,7,14
05/11/2020,0,0,0,2,1,4,8,8,23
06/11/2020,0,0,0,1,1,3,0,1,6
07/11/2020,0,1,3,0,2,2,5,3,16
08/11/2020,0,0,1,0,0,2,1,10,14
09/11/2020,0,0,0,1,0,2,5,4,12
10/11/2020,0,0,0,2,2,5,4,1,14
11/11/2020,0,0,0,0,1,1,6,6,14
12/11/2020,0,0,0,1,1,1,10,5,18
13/11/2020,0,0,0,3,5,3,2,9,22
14/11/2020,0,0,1,0,2,0,1,6,10
15/11/2020,0,0,0,1,1,1,2,2,7
16/11/2020,0,1,0,1,3,6,6,4,21
17/11/2020,1,0,1,0,7,5,8,6,28
18/11/2020,0,0,0,2,4,8,5,7,26
19/11/2020,0,0,1,0,4,1,1,5,12
20/11/2020,0,0,0,2,3,4,8,6,23
21/11/2020,0,1,1,2,1,2,8,10,25
22/11/2020,0,0,0,1,3,10,4,14,32
23/11/2020,0,0,0,1,0,3,7,6,17
24/11/2020,0,0,0,0,5,5,10,8,28
25/11/2020,0,1,1,1,3,3,6,8,23
26/11/2020,0,0,0,0,2,4,8,4,18
27/11/2020,0,0,0,2,0,2,8,23,35
28/11/2020,0,0,1,3,2,6,4,7,23
29/11/2020,0,0,1,1,1,3,3,4,13
30/11/2020,0,0,3,1,5,6,7,6,28
01/12/2020,0,1,1,0,1,4,8,6,21
02/12/2020,0,0,0,1,6,10,14,9,40
03/12/2020,0,0,2,1,4,7,12,18,44
04/12/2020,0,0,0,3,3,9,7,11,33
05/12/2020,0,0,2,2,0,2,11,15,32
06/12/2020,0,1,0,2,1,3,4,0,11
07/12/2020,0,0,0,0,1,4,2,0,7
08/12/2020,0,0,0,2,1,10,6,14,33
09/12/2020,0,0,1,3,5,5,7,13,34
10/12/2020,0,0,0,1,3,5,7,7,23
11/12/2020,0,1,2,2,3,7,12,16,43
12/12/2020,0,0,0,2,3,4,7,8,24
13/12/2020,0,2,2,0,4,8,10,18,44
14/12/2020,0,0,0,4,2,6,5,4,21
15/12/2020,0,0,1,1,2,8,11,5,28
16/12/2020,0,0,0,2,4,10,12,16,44
17/12/2020,0,0,0,4,8,6,12,18,48
18/12/2020,0,0,0,2,2,6,8,13,31
19/12/2020,0,0,1,2,1,3,7,13,27
20/12/2020,0,0,0,1,1,5,2,7,16
21/12/2020,0,0,0,0,1,1,2,5,9
22/12/2020,0,1,0,4,1,8,7,2,23
23/12/2020,0,0,1,3,7,7,7,15,40
24/12/2020,0,0,0,0,0,6,6,17,29
25/12/2020,0,0,0,1,5,8,5,17,36
26/12/2020,0,0,0,0,0,0,1,8,9
27/12/2020,0,0,1,0,1,3,9,16,30
28/12/2020,0,0,3,3,7,7,8,10,38
29/12/2020,0,0,0,0,0,5,7,11,23
30/12/2020,0,0,2,2,4,6,7,12,33
31/12/2020,0,0,3,1,4,7,9,17,41
01/01/2021,0,0,0,4,2,8,7,4,25
02/01/2021,0,0,0,0,1,4,6,21,32
03/01/2021,0,0,0,0,1,4,4,8,17
04/01/2021,0,0,0,0,4,7,5,7,23
05/01/2021,0,0,0,1,0,4,5,10,20
06/01/2021,0,0,1,2,5,9,10,20,47
07/01/2021,0,0,1,2,6,9,8,13,39
08/01/2021,0,0,2,5,1,6,8,8,30
09/01/2021,0,0,1,0,4,4,10,3,22
10/01/2021,0,0,0,1,2,5,3,6,17
11/01/2021,0,0,0,1,2,3,7,2,15
12/01/2021,0,0,2,5,5,7,4,7,30
13/01/2021,0,0,0,1,5,1,2,4,13
14/01/2021,0,0,1,1,1,5,7,14,29
15/01/2021,0,0,0,1,2,10,12,13,38
16/01/2021,0,0,1,3,3,3,9,17,36
17/01/2021,0,0,0,2,4,5,4,7,22
18/01/2021,0,0,1,0,0,3,12,10,26
19/01/2021,0,0,1,2,2,5,2,8,20
20/01/2021,0,0,2,1,2,6,6,17,34
21/01/2021,0,0,0,0,6,8,7,14,35
22/01/2021,0,1,1,2,2,7,12,8,33
23/01/2021,0,2,2,4,5,5,7,13,38
24/01/2021,0,0,2,2,0,10,4,12,30
25/01/2021,0,0,0,0,2,2,5,3,12
26/01/2021,0,0,1,1,3,2,5,2,14
27/01/2021,0,1,1,2,3,10,4,6,27
28/01/2021,0,0,0,2,2,6,5,13,28
29/01/2021,0,0,0,3,2,3,8,6,22
30/01/2021,0,0,0,0,2,0,4,11,17
31/01/2021,0,0,0,2,2,5,6,3,18
01/02/2021,0,0,0,0,2,2,3,5,12
02/02/2021,0,0,1,1,3,4,4,2,15
03/02/2021,0,0,0,1,3,6,6,13,29
04/02/2021,0,0,0,1,4,7,4,1,17
05/02/2021,0,0,0,2,2,5,5,9,23
06/02/2021,0,0,0,0,0,1,3,4,8
07/02/2021,0,1,0,0,1,1,4,6,13
08/02/2021,0,0,1,0,4,3,1,4,13
09/02/2021,0,0,0,1,0,5,7,6,19
10/02/2021,0,0,0,1,7,9,12,2,31
11/02/2021,0,0,0,2,2,5,2,7,18
12/02/2021,0,0,1,2,2,5,1,12,23
13/02/2021,0,0,0,1,2,3,5,3,14
14/02/2021,0,0,0,0,0,3,3,7,13
15/02/2021,0,0,0,1,0,2,3,3,9
16/02/2021,0,0,2,1,2,4,1,2,12
17/02/2021,0,0,1,1,2,1,5,2,12
18/02/2021,0,0,0,1,0,7,6,4,18
19/02/2021,0,0,0,0,3,5,3,8,19
20/02/2021,0,0,0,0,1,3,3,4,11
21/02/2021,0,0,0,2,3,1,6,2,14
22/02/2021,0,0,0,0,1,2,5,3,11
23/02/2021,0,0,0,0,3,3,2,1,9
24/02/2021,0,0,0,0,1,2,5,6,14
25/02/2021,0,0,1,0,1,2,3,6,13
26/02/2021,0,0,0,0,1,2,2,9,14
27/02/2021,0,0,0,0,1,4,4,6,15
28/02/2021,0,0,0,0,4,4,3,5,16
01/03/2021,0,0,0,1,1,2,4,5,13
02/03/2021,0,0,0,2,1,1,4,3,11
03/03/2021,0,0,0,0,0,5,2,6,13
04/03/2021,0,0,0,0,2,2,4,8,16
05/03/2021,0,0,0,2,1,6,7,2,18
06/03/2021,0,1,1,0,0,3,3,2,10
07/03/2021,0,0,1,1,1,1,4,4,12
08/03/2021,0,0,0,0,0,0,2,1,3
09/03/2021,0,0,1,0,6,2,6,4,19
10/03/2021,0,1,0,1,0,4,0,3,9
11/03/2021,0,0,0,1,1,2,2,0,6
12/03/2021,0,0,0,0,0,1,2,3,6
