"date","age","code","cum.deaths","daily.deaths"
2020-03-15,"0-9","WI",0,NA
2020-03-15,"10-19","WI",0,NA
2020-03-15,"20-29","WI",0,NA
2020-03-15,"30-39","WI",0,NA
2020-03-15,"40-49","WI",0,NA
2020-03-15,"50-59","WI",0,NA
2020-03-15,"60-69","WI",0,NA
2020-03-15,"70-79","WI",0,NA
2020-03-15,"80-89","WI",0,NA
2020-03-15,"90+","WI",0,NA
2020-03-16,"0-9","WI",0,0
2020-03-16,"10-19","WI",0,0
2020-03-16,"20-29","WI",0,0
2020-03-16,"30-39","WI",0,0
2020-03-16,"40-49","WI",0,0
2020-03-16,"50-59","WI",0,0
2020-03-16,"60-69","WI",0,0
2020-03-16,"70-79","WI",0,0
2020-03-16,"80-89","WI",0,0
2020-03-16,"90+","WI",0,0
2020-03-17,"0-9","WI",0,0
2020-03-17,"10-19","WI",0,0
2020-03-17,"20-29","WI",0,0
2020-03-17,"30-39","WI",0,0
2020-03-17,"40-49","WI",0,0
2020-03-17,"50-59","WI",0,0
2020-03-17,"60-69","WI",0,0
2020-03-17,"70-79","WI",0,0
2020-03-17,"80-89","WI",0,0
2020-03-17,"90+","WI",0,0
2020-03-18,"0-9","WI",0,0
2020-03-18,"10-19","WI",0,0
2020-03-18,"20-29","WI",0,0
2020-03-18,"30-39","WI",0,0
2020-03-18,"40-49","WI",0,0
2020-03-18,"50-59","WI",0,0
2020-03-18,"60-69","WI",0,0
2020-03-18,"70-79","WI",0,0
2020-03-18,"80-89","WI",0,0
2020-03-18,"90+","WI",0,0
2020-03-19,"0-9","WI",0,0
2020-03-19,"10-19","WI",0,0
2020-03-19,"20-29","WI",0,0
2020-03-19,"30-39","WI",0,0
2020-03-19,"40-49","WI",0,0
2020-03-19,"50-59","WI",0,0
2020-03-19,"60-69","WI",0,0
2020-03-19,"70-79","WI",0,0
2020-03-19,"80-89","WI",0,0
2020-03-19,"90+","WI",0,0
2020-03-20,"0-9","WI",0,0
2020-03-20,"10-19","WI",0,0
2020-03-20,"20-29","WI",0,0
2020-03-20,"30-39","WI",0,0
2020-03-20,"40-49","WI",0,0
2020-03-20,"50-59","WI",0,0
2020-03-20,"60-69","WI",0,0
2020-03-20,"70-79","WI",0,0
2020-03-20,"80-89","WI",0,0
2020-03-20,"90+","WI",0,0
2020-03-21,"0-9","WI",0,0
2020-03-21,"10-19","WI",0,0
2020-03-21,"20-29","WI",0,0
2020-03-21,"30-39","WI",0,0
2020-03-21,"40-49","WI",0,0
2020-03-21,"50-59","WI",0,0
2020-03-21,"60-69","WI",0,0
2020-03-21,"70-79","WI",0,0
2020-03-21,"80-89","WI",0,0
2020-03-21,"90+","WI",0,0
2020-03-22,"0-9","WI",0,0
2020-03-22,"10-19","WI",0,0
2020-03-22,"20-29","WI",0,0
2020-03-22,"30-39","WI",0,0
2020-03-22,"40-49","WI",0,0
2020-03-22,"50-59","WI",0,0
2020-03-22,"60-69","WI",0,0
2020-03-22,"70-79","WI",0,0
2020-03-22,"80-89","WI",0,0
2020-03-22,"90+","WI",0,0
2020-03-23,"0-9","WI",0,0
2020-03-23,"10-19","WI",0,0
2020-03-23,"20-29","WI",0,0
2020-03-23,"30-39","WI",0,0
2020-03-23,"40-49","WI",0,0
2020-03-23,"50-59","WI",0,0
2020-03-23,"60-69","WI",0,0
2020-03-23,"70-79","WI",0,0
2020-03-23,"80-89","WI",0,0
2020-03-23,"90+","WI",0,0
2020-03-24,"0-9","WI",0,0
2020-03-24,"10-19","WI",0,0
2020-03-24,"20-29","WI",0,0
2020-03-24,"30-39","WI",0,0
2020-03-24,"40-49","WI",0,0
2020-03-24,"50-59","WI",0,0
2020-03-24,"60-69","WI",0,0
2020-03-24,"70-79","WI",0,0
2020-03-24,"80-89","WI",0,0
2020-03-24,"90+","WI",0,0
2020-03-25,"0-9","WI",0,0
2020-03-25,"10-19","WI",0,0
2020-03-25,"20-29","WI",0,0
2020-03-25,"30-39","WI",0,0
2020-03-25,"40-49","WI",0,0
2020-03-25,"50-59","WI",0,0
2020-03-25,"60-69","WI",0,0
2020-03-25,"70-79","WI",0,0
2020-03-25,"80-89","WI",0,0
2020-03-25,"90+","WI",0,0
2020-03-26,"0-9","WI",0,0
2020-03-26,"10-19","WI",0,0
2020-03-26,"20-29","WI",0,0
2020-03-26,"30-39","WI",0,0
2020-03-26,"40-49","WI",0,0
2020-03-26,"50-59","WI",0,0
2020-03-26,"60-69","WI",0,0
2020-03-26,"70-79","WI",0,0
2020-03-26,"80-89","WI",0,0
2020-03-26,"90+","WI",0,0
2020-03-27,"0-9","WI",0,0
2020-03-27,"10-19","WI",0,0
2020-03-27,"20-29","WI",0,0
2020-03-27,"30-39","WI",0,0
2020-03-27,"40-49","WI",0,0
2020-03-27,"50-59","WI",0,0
2020-03-27,"60-69","WI",0,0
2020-03-27,"70-79","WI",0,0
2020-03-27,"80-89","WI",0,0
2020-03-27,"90+","WI",0,0
2020-03-28,"0-9","WI",0,0
2020-03-28,"10-19","WI",0,0
2020-03-28,"20-29","WI",0,0
2020-03-28,"30-39","WI",0,0
2020-03-28,"40-49","WI",0,0
2020-03-28,"50-59","WI",0,0
2020-03-28,"60-69","WI",0,0
2020-03-28,"70-79","WI",0,0
2020-03-28,"80-89","WI",0,0
2020-03-28,"90+","WI",0,0
2020-03-29,"0-9","WI",0,0
2020-03-29,"10-19","WI",0,0
2020-03-29,"20-29","WI",0,0
2020-03-29,"30-39","WI",0,0
2020-03-29,"40-49","WI",0,0
2020-03-29,"50-59","WI",4,4
2020-03-29,"60-69","WI",3,3
2020-03-29,"70-79","WI",3,3
2020-03-29,"80-89","WI",2,2
2020-03-29,"90+","WI",1,1
2020-03-30,"0-9","WI",0,0
2020-03-30,"10-19","WI",0,0
2020-03-30,"20-29","WI",0,0
2020-03-30,"30-39","WI",0,0
2020-03-30,"40-49","WI",1,1
2020-03-30,"50-59","WI",4,0
2020-03-30,"60-69","WI",3,0
2020-03-30,"70-79","WI",3,0
2020-03-30,"80-89","WI",2,0
2020-03-30,"90+","WI",1,0
2020-03-31,"0-9","WI",0,0
2020-03-31,"10-19","WI",0,0
2020-03-31,"20-29","WI",0,0
2020-03-31,"30-39","WI",0,0
2020-03-31,"40-49","WI",1,0
2020-03-31,"50-59","WI",4,0
2020-03-31,"60-69","WI",3,0
2020-03-31,"70-79","WI",4,1
2020-03-31,"80-89","WI",3,1
2020-03-31,"90+","WI",1,0
2020-04-01,"0-9","WI",0,0
2020-04-01,"10-19","WI",0,0
2020-04-01,"20-29","WI",0,0
2020-04-01,"30-39","WI",0,0
2020-04-01,"40-49","WI",1,0
2020-04-01,"50-59","WI",6,2
2020-04-01,"60-69","WI",5,2
2020-04-01,"70-79","WI",6,2
2020-04-01,"80-89","WI",5,2
2020-04-01,"90+","WI",1,0
2020-04-02,"0-9","WI",0,0
2020-04-02,"10-19","WI",0,0
2020-04-02,"20-29","WI",0,0
2020-04-02,"30-39","WI",1,1
2020-04-02,"40-49","WI",1,0
2020-04-02,"50-59","WI",6,0
2020-04-02,"60-69","WI",5,0
2020-04-02,"70-79","WI",9,3
2020-04-02,"80-89","WI",7,2
2020-04-02,"90+","WI",2,1
2020-04-03,"0-9","WI",0,0
2020-04-03,"10-19","WI",0,0
2020-04-03,"20-29","WI",0,0
2020-04-03,"30-39","WI",1,0
2020-04-03,"40-49","WI",1,0
2020-04-03,"50-59","WI",6,0
2020-04-03,"60-69","WI",5,0
2020-04-03,"70-79","WI",12,3
2020-04-03,"80-89","WI",9,2
2020-04-03,"90+","WI",3,1
2020-04-04,"0-9","WI",0,0
2020-04-04,"10-19","WI",0,0
2020-04-04,"20-29","WI",0,0
2020-04-04,"30-39","WI",2,1
2020-04-04,"40-49","WI",1,0
2020-04-04,"50-59","WI",8,2
2020-04-04,"60-69","WI",9,4
2020-04-04,"70-79","WI",16,4
2020-04-04,"80-89","WI",14,5
2020-04-04,"90+","WI",6,3
2020-04-05,"0-9","WI",0,0
2020-04-05,"10-19","WI",0,0
2020-04-05,"20-29","WI",0,0
2020-04-05,"30-39","WI",2,0
2020-04-05,"40-49","WI",1,0
2020-04-05,"50-59","WI",10,2
2020-04-05,"60-69","WI",10,1
2020-04-05,"70-79","WI",22,6
2020-04-05,"80-89","WI",16,2
2020-04-05,"90+","WI",7,1
2020-04-06,"0-9","WI",0,0
2020-04-06,"10-19","WI",0,0
2020-04-06,"20-29","WI",0,0
2020-04-06,"30-39","WI",2,0
2020-04-06,"40-49","WI",1,0
2020-04-06,"50-59","WI",11,1
2020-04-06,"60-69","WI",11,1
2020-04-06,"70-79","WI",25,3
2020-04-06,"80-89","WI",18,2
2020-04-06,"90+","WI",9,2
2020-04-07,"0-9","WI",0,0
2020-04-07,"10-19","WI",0,0
2020-04-07,"20-29","WI",0,0
2020-04-07,"30-39","WI",2,0
2020-04-07,"40-49","WI",2,1
2020-04-07,"50-59","WI",11,0
2020-04-07,"60-69","WI",15,4
2020-04-07,"70-79","WI",32,7
2020-04-07,"80-89","WI",20,2
2020-04-07,"90+","WI",10,1
2020-04-08,"0-9","WI",0,0
2020-04-08,"10-19","WI",0,0
2020-04-08,"20-29","WI",0,0
2020-04-08,"30-39","WI",2,0
2020-04-08,"40-49","WI",2,0
2020-04-08,"50-59","WI",11,0
2020-04-08,"60-69","WI",16,1
2020-04-08,"70-79","WI",35,3
2020-04-08,"80-89","WI",23,3
2020-04-08,"90+","WI",10,0
2020-04-09,"0-9","WI",0,0
2020-04-09,"10-19","WI",0,0
2020-04-09,"20-29","WI",0,0
2020-04-09,"30-39","WI",3,1
2020-04-09,"40-49","WI",2,0
2020-04-09,"50-59","WI",12,1
2020-04-09,"60-69","WI",17,1
2020-04-09,"70-79","WI",39,4
2020-04-09,"80-89","WI",26,3
2020-04-09,"90+","WI",12,2
2020-04-10,"0-9","WI",0,0
2020-04-10,"10-19","WI",0,0
2020-04-10,"20-29","WI",0,0
2020-04-10,"30-39","WI",3,0
2020-04-10,"40-49","WI",2,0
2020-04-10,"50-59","WI",15,3
2020-04-10,"60-69","WI",24,7
2020-04-10,"70-79","WI",42,3
2020-04-10,"80-89","WI",27,1
2020-04-10,"90+","WI",15,3
2020-04-11,"0-9","WI",0,0
2020-04-11,"10-19","WI",0,0
2020-04-11,"20-29","WI",0,0
2020-04-11,"30-39","WI",3,0
2020-04-11,"40-49","WI",4,2
2020-04-11,"50-59","WI",15,0
2020-04-11,"60-69","WI",25,1
2020-04-11,"70-79","WI",42,0
2020-04-11,"80-89","WI",30,3
2020-04-11,"90+","WI",18,3
2020-04-12,"0-9","WI",0,0
2020-04-12,"10-19","WI",0,0
2020-04-12,"20-29","WI",0,0
2020-04-12,"30-39","WI",3,0
2020-04-12,"40-49","WI",4,0
2020-04-12,"50-59","WI",15,0
2020-04-12,"60-69","WI",25,0
2020-04-12,"70-79","WI",45,3
2020-04-12,"80-89","WI",33,3
2020-04-12,"90+","WI",19,1
2020-04-13,"0-9","WI",0,0
2020-04-13,"10-19","WI",0,0
2020-04-13,"20-29","WI",0,0
2020-04-13,"30-39","WI",4,1
2020-04-13,"40-49","WI",5,1
2020-04-13,"50-59","WI",16,1
2020-04-13,"60-69","WI",27,2
2020-04-13,"70-79","WI",48,3
2020-04-13,"80-89","WI",34,1
2020-04-13,"90+","WI",20,1
2020-04-14,"0-9","WI",0,0
2020-04-14,"10-19","WI",0,0
2020-04-14,"20-29","WI",0,0
2020-04-14,"30-39","WI",4,0
2020-04-14,"40-49","WI",5,0
2020-04-14,"50-59","WI",16,0
2020-04-14,"60-69","WI",34,7
2020-04-14,"70-79","WI",51,3
2020-04-14,"80-89","WI",39,5
2020-04-14,"90+","WI",21,1
2020-04-15,"0-9","WI",0,0
2020-04-15,"10-19","WI",0,0
2020-04-15,"20-29","WI",0,0
2020-04-15,"30-39","WI",4,0
2020-04-15,"40-49","WI",5,0
2020-04-15,"50-59","WI",18,2
2020-04-15,"60-69","WI",35,1
2020-04-15,"70-79","WI",56,5
2020-04-15,"80-89","WI",41,2
2020-04-15,"90+","WI",23,2
2020-04-16,"0-9","WI",0,0
2020-04-16,"10-19","WI",0,0
2020-04-16,"20-29","WI",0,0
2020-04-16,"30-39","WI",4,0
2020-04-16,"40-49","WI",6,1
2020-04-16,"50-59","WI",20,2
2020-04-16,"60-69","WI",38,3
2020-04-16,"70-79","WI",59,3
2020-04-16,"80-89","WI",44,3
2020-04-16,"90+","WI",26,3
2020-04-17,"0-9","WI",0,0
2020-04-17,"10-19","WI",0,0
2020-04-17,"20-29","WI",0,0
2020-04-17,"30-39","WI",4,0
2020-04-17,"40-49","WI",6,0
2020-04-17,"50-59","WI",20,0
2020-04-17,"60-69","WI",41,3
2020-04-17,"70-79","WI",61,2
2020-04-17,"80-89","WI",47,3
2020-04-17,"90+","WI",26,0
2020-04-18,"0-9","WI",0,0
2020-04-18,"10-19","WI",0,0
2020-04-18,"20-29","WI",0,0
2020-04-18,"30-39","WI",4,0
2020-04-18,"40-49","WI",6,0
2020-04-18,"50-59","WI",20,0
2020-04-18,"60-69","WI",41,0
2020-04-18,"70-79","WI",65,4
2020-04-18,"80-89","WI",47,0
2020-04-18,"90+","WI",28,2
2020-04-19,"0-9","WI",0,0
2020-04-19,"10-19","WI",0,0
2020-04-19,"20-29","WI",2,2
2020-04-19,"30-39","WI",4,0
2020-04-19,"40-49","WI",6,0
2020-04-19,"50-59","WI",20,0
2020-04-19,"60-69","WI",42,1
2020-04-19,"70-79","WI",67,2
2020-04-19,"80-89","WI",48,1
2020-04-19,"90+","WI",31,3
2020-04-20,"0-9","WI",0,0
2020-04-20,"10-19","WI",0,0
2020-04-20,"20-29","WI",2,0
2020-04-20,"30-39","WI",4,0
2020-04-20,"40-49","WI",7,1
2020-04-20,"50-59","WI",20,0
2020-04-20,"60-69","WI",43,1
2020-04-20,"70-79","WI",67,0
2020-04-20,"80-89","WI",52,4
2020-04-20,"90+","WI",35,4
2020-04-21,"0-9","WI",0,0
2020-04-21,"10-19","WI",0,0
2020-04-21,"20-29","WI",2,0
2020-04-21,"30-39","WI",4,0
2020-04-21,"40-49","WI",8,1
2020-04-21,"50-59","WI",21,1
2020-04-21,"60-69","WI",43,0
2020-04-21,"70-79","WI",72,5
2020-04-21,"80-89","WI",55,3
2020-04-21,"90+","WI",37,2
2020-04-22,"0-9","WI",0,0
2020-04-22,"10-19","WI",0,0
2020-04-22,"20-29","WI",2,0
2020-04-22,"30-39","WI",4,0
2020-04-22,"40-49","WI",8,0
2020-04-22,"50-59","WI",21,0
2020-04-22,"60-69","WI",43,0
2020-04-22,"70-79","WI",73,1
2020-04-22,"80-89","WI",56,1
2020-04-22,"90+","WI",39,2
2020-04-23,"0-9","WI",0,0
2020-04-23,"10-19","WI",0,0
2020-04-23,"20-29","WI",2,0
2020-04-23,"30-39","WI",4,0
2020-04-23,"40-49","WI",9,1
2020-04-23,"50-59","WI",22,1
2020-04-23,"60-69","WI",44,1
2020-04-23,"70-79","WI",78,5
2020-04-23,"80-89","WI",58,2
2020-04-23,"90+","WI",40,1
2020-04-24,"0-9","WI",0,0
2020-04-24,"10-19","WI",0,0
2020-04-24,"20-29","WI",2,0
2020-04-24,"30-39","WI",4,0
2020-04-24,"40-49","WI",9,0
2020-04-24,"50-59","WI",22,0
2020-04-24,"60-69","WI",45,1
2020-04-24,"70-79","WI",80,2
2020-04-24,"80-89","WI",58,0
2020-04-24,"90+","WI",41,1
2020-04-25,"0-9","WI",0,0
2020-04-25,"10-19","WI",0,0
2020-04-25,"20-29","WI",2,0
2020-04-25,"30-39","WI",4,0
2020-04-25,"40-49","WI",9,0
2020-04-25,"50-59","WI",22,0
2020-04-25,"60-69","WI",46,1
2020-04-25,"70-79","WI",81,1
2020-04-25,"80-89","WI",60,2
2020-04-25,"90+","WI",41,0
2020-04-26,"0-9","WI",0,0
2020-04-26,"10-19","WI",0,0
2020-04-26,"20-29","WI",2,0
2020-04-26,"30-39","WI",4,0
2020-04-26,"40-49","WI",9,0
2020-04-26,"50-59","WI",23,1
2020-04-26,"60-69","WI",46,0
2020-04-26,"70-79","WI",83,2
2020-04-26,"80-89","WI",63,3
2020-04-26,"90+","WI",42,1
2020-04-27,"0-9","WI",0,0
2020-04-27,"10-19","WI",0,0
2020-04-27,"20-29","WI",2,0
2020-04-27,"30-39","WI",4,0
2020-04-27,"40-49","WI",9,0
2020-04-27,"50-59","WI",24,1
2020-04-27,"60-69","WI",47,1
2020-04-27,"70-79","WI",87,4
2020-04-27,"80-89","WI",66,3
2020-04-27,"90+","WI",42,0
2020-04-28,"0-9","WI",0,0
2020-04-28,"10-19","WI",0,0
2020-04-28,"20-29","WI",2,0
2020-04-28,"30-39","WI",4,0
2020-04-28,"40-49","WI",9,0
2020-04-28,"50-59","WI",26,2
2020-04-28,"60-69","WI",48,1
2020-04-28,"70-79","WI",93,6
2020-04-28,"80-89","WI",73,7
2020-04-28,"90+","WI",45,3
2020-04-29,"0-9","WI",0,0
2020-04-29,"10-19","WI",0,0
2020-04-29,"20-29","WI",3,1
2020-04-29,"30-39","WI",4,0
2020-04-29,"40-49","WI",9,0
2020-04-29,"50-59","WI",26,0
2020-04-29,"60-69","WI",48,0
2020-04-29,"70-79","WI",96,3
2020-04-29,"80-89","WI",77,4
2020-04-29,"90+","WI",45,0
2020-04-30,"0-9","WI",0,0
2020-04-30,"10-19","WI",0,0
2020-04-30,"20-29","WI",3,0
2020-04-30,"30-39","WI",4,0
2020-04-30,"40-49","WI",9,0
2020-04-30,"50-59","WI",26,0
2020-04-30,"60-69","WI",49,1
2020-04-30,"70-79","WI",100,4
2020-04-30,"80-89","WI",77,0
2020-04-30,"90+","WI",48,3
2020-05-01,"0-9","WI",0,0
2020-05-01,"10-19","WI",0,0
2020-05-01,"20-29","WI",3,0
2020-05-01,"30-39","WI",4,0
2020-05-01,"40-49","WI",9,0
2020-05-01,"50-59","WI",30,4
2020-05-01,"60-69","WI",51,2
2020-05-01,"70-79","WI",101,1
2020-05-01,"80-89","WI",80,3
2020-05-01,"90+","WI",48,0
2020-05-02,"0-9","WI",0,0
2020-05-02,"10-19","WI",0,0
2020-05-02,"20-29","WI",3,0
2020-05-02,"30-39","WI",4,0
2020-05-02,"40-49","WI",10,1
2020-05-02,"50-59","WI",30,0
2020-05-02,"60-69","WI",51,0
2020-05-02,"70-79","WI",101,0
2020-05-02,"80-89","WI",82,2
2020-05-02,"90+","WI",53,5
2020-05-03,"0-9","WI",0,0
2020-05-03,"10-19","WI",0,0
2020-05-03,"20-29","WI",3,0
2020-05-03,"30-39","WI",4,0
2020-05-03,"40-49","WI",10,0
2020-05-03,"50-59","WI",30,0
2020-05-03,"60-69","WI",52,1
2020-05-03,"70-79","WI",101,0
2020-05-03,"80-89","WI",82,0
2020-05-03,"90+","WI",57,4
2020-05-04,"0-9","WI",0,0
2020-05-04,"10-19","WI",0,0
2020-05-04,"20-29","WI",3,0
2020-05-04,"30-39","WI",4,0
2020-05-04,"40-49","WI",10,0
2020-05-04,"50-59","WI",30,0
2020-05-04,"60-69","WI",53,1
2020-05-04,"70-79","WI",101,0
2020-05-04,"80-89","WI",82,0
2020-05-04,"90+","WI",57,0
2020-05-05,"0-9","WI",0,0
2020-05-05,"10-19","WI",0,0
2020-05-05,"20-29","WI",4,1
2020-05-05,"30-39","WI",4,0
2020-05-05,"40-49","WI",11,1
2020-05-05,"50-59","WI",32,2
2020-05-05,"60-69","WI",55,2
2020-05-05,"70-79","WI",103,2
2020-05-05,"80-89","WI",85,3
2020-05-05,"90+","WI",59,2
2020-05-06,"0-9","WI",0,0
2020-05-06,"10-19","WI",0,0
2020-05-06,"20-29","WI",4,0
2020-05-06,"30-39","WI",4,0
2020-05-06,"40-49","WI",11,0
2020-05-06,"50-59","WI",32,0
2020-05-06,"60-69","WI",56,1
2020-05-06,"70-79","WI",106,3
2020-05-06,"80-89","WI",87,2
2020-05-06,"90+","WI",62,3
2020-05-07,"0-9","WI",0,0
2020-05-07,"10-19","WI",0,0
2020-05-07,"20-29","WI",4,0
2020-05-07,"30-39","WI",5,1
2020-05-07,"40-49","WI",11,0
2020-05-07,"50-59","WI",33,1
2020-05-07,"60-69","WI",57,1
2020-05-07,"70-79","WI",110,4
2020-05-07,"80-89","WI",91,4
2020-05-07,"90+","WI",63,1
2020-05-08,"0-9","WI",0,0
2020-05-08,"10-19","WI",0,0
2020-05-08,"20-29","WI",4,0
2020-05-08,"30-39","WI",5,0
2020-05-08,"40-49","WI",11,0
2020-05-08,"50-59","WI",33,0
2020-05-08,"60-69","WI",58,1
2020-05-08,"70-79","WI",111,1
2020-05-08,"80-89","WI",96,5
2020-05-08,"90+","WI",66,3
2020-05-09,"0-9","WI",0,0
2020-05-09,"10-19","WI",0,0
2020-05-09,"20-29","WI",4,0
2020-05-09,"30-39","WI",5,0
2020-05-09,"40-49","WI",11,0
2020-05-09,"50-59","WI",33,0
2020-05-09,"60-69","WI",61,3
2020-05-09,"70-79","WI",117,6
2020-05-09,"80-89","WI",96,0
2020-05-09,"90+","WI",71,5
2020-05-10,"0-9","WI",0,0
2020-05-10,"10-19","WI",0,0
2020-05-10,"20-29","WI",4,0
2020-05-10,"30-39","WI",5,0
2020-05-10,"40-49","WI",11,0
2020-05-10,"50-59","WI",33,0
2020-05-10,"60-69","WI",61,0
2020-05-10,"70-79","WI",117,0
2020-05-10,"80-89","WI",97,1
2020-05-10,"90+","WI",71,0
2020-05-11,"0-9","WI",0,0
2020-05-11,"10-19","WI",0,0
2020-05-11,"20-29","WI",4,0
2020-05-11,"30-39","WI",5,0
2020-05-11,"40-49","WI",11,0
2020-05-11,"50-59","WI",33,0
2020-05-11,"60-69","WI",61,0
2020-05-11,"70-79","WI",119,2
2020-05-11,"80-89","WI",100,3
2020-05-11,"90+","WI",75,4
2020-05-12,"0-9","WI",0,0
2020-05-12,"10-19","WI",0,0
2020-05-12,"20-29","WI",4,0
2020-05-12,"30-39","WI",5,0
2020-05-12,"40-49","WI",11,0
2020-05-12,"50-59","WI",33,0
2020-05-12,"60-69","WI",64,3
2020-05-12,"70-79","WI",122,3
2020-05-12,"80-89","WI",101,1
2020-05-12,"90+","WI",78,3
2020-05-13,"0-9","WI",0,0
2020-05-13,"10-19","WI",0,0
2020-05-13,"20-29","WI",4,0
2020-05-13,"30-39","WI",5,0
2020-05-13,"40-49","WI",11,0
2020-05-13,"50-59","WI",35,2
2020-05-13,"60-69","WI",64,0
2020-05-13,"70-79","WI",123,1
2020-05-13,"80-89","WI",101,0
2020-05-13,"90+","WI",78,0
2020-05-14,"0-9","WI",0,0
2020-05-14,"10-19","WI",0,0
2020-05-14,"20-29","WI",4,0
2020-05-14,"30-39","WI",5,0
2020-05-14,"40-49","WI",11,0
2020-05-14,"50-59","WI",36,1
2020-05-14,"60-69","WI",68,4
2020-05-14,"70-79","WI",125,2
2020-05-14,"80-89","WI",103,2
2020-05-14,"90+","WI",82,4
2020-05-15,"0-9","WI",0,0
2020-05-15,"10-19","WI",0,0
2020-05-15,"20-29","WI",4,0
2020-05-15,"30-39","WI",5,0
2020-05-15,"40-49","WI",11,0
2020-05-15,"50-59","WI",37,1
2020-05-15,"60-69","WI",70,2
2020-05-15,"70-79","WI",126,1
2020-05-15,"80-89","WI",109,6
2020-05-15,"90+","WI",83,1
2020-05-16,"0-9","WI",0,0
2020-05-16,"10-19","WI",0,0
2020-05-16,"20-29","WI",4,0
2020-05-16,"30-39","WI",5,0
2020-05-16,"40-49","WI",11,0
2020-05-16,"50-59","WI",39,2
2020-05-16,"60-69","WI",72,2
2020-05-16,"70-79","WI",128,2
2020-05-16,"80-89","WI",109,0
2020-05-16,"90+","WI",85,2
2020-05-17,"0-9","WI",0,0
2020-05-17,"10-19","WI",0,0
2020-05-17,"20-29","WI",4,0
2020-05-17,"30-39","WI",5,0
2020-05-17,"40-49","WI",11,0
2020-05-17,"50-59","WI",39,0
2020-05-17,"60-69","WI",72,0
2020-05-17,"70-79","WI",128,0
2020-05-17,"80-89","WI",109,0
2020-05-17,"90+","WI",85,0
2020-05-18,"0-9","WI",0,0
2020-05-18,"10-19","WI",0,0
2020-05-18,"20-29","WI",4,0
2020-05-18,"30-39","WI",5,0
2020-05-18,"40-49","WI",11,0
2020-05-18,"50-59","WI",39,0
2020-05-18,"60-69","WI",75,3
2020-05-18,"70-79","WI",129,1
2020-05-18,"80-89","WI",111,2
2020-05-18,"90+","WI",85,0
2020-05-19,"0-9","WI",0,0
2020-05-19,"10-19","WI",0,0
2020-05-19,"20-29","WI",4,0
2020-05-19,"30-39","WI",5,0
2020-05-19,"40-49","WI",12,1
2020-05-19,"50-59","WI",40,1
2020-05-19,"60-69","WI",77,2
2020-05-19,"70-79","WI",129,0
2020-05-19,"80-89","WI",114,3
2020-05-19,"90+","WI",86,1
2020-05-20,"0-9","WI",0,0
2020-05-20,"10-19","WI",0,0
2020-05-20,"20-29","WI",4,0
2020-05-20,"30-39","WI",5,0
2020-05-20,"40-49","WI",13,1
2020-05-20,"50-59","WI",44,4
2020-05-20,"60-69","WI",80,3
2020-05-20,"70-79","WI",133,4
2020-05-20,"80-89","WI",115,1
2020-05-20,"90+","WI",86,0
2020-05-21,"0-9","WI",0,0
2020-05-21,"10-19","WI",0,0
2020-05-21,"20-29","WI",4,0
2020-05-21,"30-39","WI",5,0
2020-05-21,"40-49","WI",13,0
2020-05-21,"50-59","WI",44,0
2020-05-21,"60-69","WI",80,0
2020-05-21,"70-79","WI",135,2
2020-05-21,"80-89","WI",116,1
2020-05-21,"90+","WI",90,4
2020-05-22,"0-9","WI",0,0
2020-05-22,"10-19","WI",0,0
2020-05-22,"20-29","WI",4,0
2020-05-22,"30-39","WI",5,0
2020-05-22,"40-49","WI",13,0
2020-05-22,"50-59","WI",44,0
2020-05-22,"60-69","WI",80,0
2020-05-22,"70-79","WI",135,0
2020-05-22,"80-89","WI",121,5
2020-05-22,"90+","WI",94,4
2020-05-23,"0-9","WI",0,0
2020-05-23,"10-19","WI",0,0
2020-05-23,"20-29","WI",4,0
